transaction_id,transaction_amount,transaction_hour,new_beneficiary,new_device,location_change,transaction_velocity,previous_risk,account_age_days,is_fraud
1,1802.1112135787243,9,0,0,0,2,0.6322786764574844,1037,1
2,955.0232625057384,23,0,0,0,2,0.5111662761253446,629,0
3,2095.7956345785824,16,1,0,0,4,0.14567926339154724,255,0
4,5029.268657542956,20,0,0,0,5,0.9486866258703559,975,0
5,867.7005140926361,1,0,1,0,2,0.8110184799986606,1773,1
6,867.7147599206529,5,0,0,0,2,0.22085365097509113,505,0
7,5319.916121134705,4,0,0,0,3,0.291944079111907,403,0
8,2362.403304345988,3,0,0,0,3,0.20006274406782532,713,0
9,685.7585611260495,1,0,0,0,1,0.3084334322219051,362,0
10,1886.6537639047035,11,0,1,1,1,0.22792304366632732,1846,0
11,689.9245937420658,2,0,1,0,4,0.25783989655786166,238,0
12,688.3312887817422,5,0,0,0,0,0.5165938841900091,186,0
13,1396.8322475684772,23,0,0,0,1,0.3375320039336698,394,0
14,161.858056279385,13,0,0,0,3,0.48983796981455263,899,0
15,195.4065319165904,7,0,0,0,3,0.03066941961759695,913,0
16,624.9755136188202,20,0,0,0,1,0.7414869914133807,138,0
17,398.2854182960021,20,0,0,0,3,0.9282788116157457,985,0
18,1501.5412094910894,13,1,0,0,2,0.9964502305410143,299,1
19,442.2944888014099,2,0,0,0,2,0.2005914662736974,51,1
20,267.11954670557367,15,0,0,0,0,0.38402295101033346,434,0
21,4748.80729125873,14,0,0,0,1,0.9736620272159491,1537,0
22,874.9998365113838,6,0,0,0,2,0.21212410973042817,532,0
23,1173.2444270914534,14,0,0,0,1,0.5394608148515793,1367,0
24,263.8159797741489,12,0,0,0,2,0.7992802865859597,1215,0
25,636.2663566771611,5,0,0,0,1,0.028495097371966982,1907,0
26,1225.277453161292,14,0,0,0,0,0.10508830697571547,720,0
27,346.8895475755054,16,0,0,0,2,0.19655978678155184,810,0
28,1596.7059716691924,3,1,1,0,0,0.4555590412468753,310,1
29,601.4607682413429,21,0,0,0,2,0.015209370931765331,1635,0
30,819.1819744571948,21,0,0,0,2,0.4312668580391855,825,0
31,600.8187977163269,13,0,0,0,2,0.16151423301034795,46,0
32,6990.296027743,14,0,0,0,3,0.8497384732413461,398,1
33,1081.9310959498725,11,0,0,0,1,0.48633937903058944,1100,0
34,380.8056237442453,18,0,1,0,2,0.07120933276264563,1535,0
35,2496.250068330262,21,1,0,1,3,0.4628371911719502,1527,1
36,323.4861661702717,9,0,0,0,3,0.4802475007164072,182,0
37,1351.35570708634,5,0,0,0,2,0.29969313326659563,1156,0
38,154.52097940064152,8,1,0,0,2,0.36776663983437585,356,0
39,290.56112031105124,1,0,0,0,2,0.9705702265799432,447,0
40,1335.2331981866146,3,0,0,0,4,0.24721065745120208,1892,0
41,2294.950560496783,8,0,0,0,4,0.6765863723560108,277,0
42,1301.6243730593364,14,0,0,0,3,0.6610517322471432,897,0
43,976.868177954757,12,0,0,0,1,0.422337488326499,572,0
44,811.5096710732242,19,0,0,0,1,0.9321450206112055,1047,0
45,250.00427297909772,7,1,0,0,1,0.7695446506684922,528,1
46,533.8718300965201,18,0,0,0,0,0.0210493110207588,526,0
47,691.8445066807946,18,0,0,0,3,0.4856195433344541,617,0
48,3156.194239640048,15,0,0,0,1,0.11398892336860189,1142,0
49,1546.2969539266462,10,0,0,0,1,0.2868934455313862,77,0
50,188.09738699507537,9,0,0,1,4,0.23870604888566327,386,0
51,1516.3842079174979,7,0,0,0,1,0.7555485244305615,589,1
52,746.1433348256803,0,0,0,0,5,0.24912499829036605,1671,0
53,557.2856804265388,9,0,0,0,2,0.9928252009811456,1614,1
54,2021.664151979386,17,1,0,0,1,0.1283042189011877,467,0
55,3074.81348309205,2,1,0,0,2,0.41164155924170676,1094,0
56,2782.9870802038167,10,0,0,0,6,0.48939053488295514,1017,0
57,473.7986662798354,17,0,1,0,1,0.4327994757274337,1102,0
58,804.9560053200662,2,0,0,0,4,0.09332731609793199,140,0
59,1527.3102051887226,7,0,0,0,0,0.2257530058010978,1944,0
60,2908.9431837912525,13,1,0,0,4,0.520763626959886,1686,0
61,679.1389611083339,5,0,1,0,2,0.7998210143021729,1838,0
62,910.8161114172196,14,0,0,0,2,0.688399216278933,746,0
63,362.7322743749061,13,0,0,0,2,0.5444829561240419,1877,0
64,331.5548897700886,6,0,0,0,2,0.9775865773746771,880,0
65,2471.364787061823,9,0,0,1,3,0.7609705086973747,751,0
66,4256.65972069623,14,0,0,0,0,0.8665358623756121,1438,0
67,1020.4407067638456,9,1,0,0,3,0.012716406645092215,516,0
68,2991.5080323735688,21,0,0,0,1,0.21617503335342725,221,0
69,1574.4102316646877,16,0,0,0,2,0.7198446451471031,1256,0
70,575.2934424950665,18,0,0,1,0,0.2783012300537384,1446,0
71,1574.0317581802808,16,0,1,0,2,0.3539746289726434,715,1
72,5105.310576549074,11,0,0,0,2,0.5907364437627763,488,0
73,1058.0405734611281,14,0,0,0,2,0.5426619563235476,1068,0
74,5242.971285433676,11,1,1,0,1,0.22076010397235268,976,1
